Character,Level,Number of Sentence,Sentence
Entrepreneur,Farm,1,"""Hey Mayor, buckle up for a serious situation in the countryside! Our farmlands are in the hot seat of a major climate crisis, and we desperately need your leadership."""
Entrepreneur,Farm,2,"""Picture this: our farms and green areas are on the edge because of crazy weather, and there's way too much of this CO2 stuff in the air—it's off the charts."""
Entrepreneur,Farm,3,"""Now, here's the deal: we've got to dive into serious action. We're talking about making sure animals have babies, getting those crops growing, and throwing up some greenhouses to shield our plants from the chaos outside."""
Entrepreneur,Farm,4,"""If we don't crack this puzzle, our farms might fail to produce enough food, and the hardworking folks who depend on them could be in real trouble. """
Entrepreneur,Farm,5,"""Mayor, this is no time for small moves. The future of our countryside is hanging in the balance, and it's up to you to make the bold choices that will save the day"""
Entrepreneur,Farm,6,"""Good luck – we're all counting on you!"""
Environmentalist,Farm,1,"""Hello major! Welcome to the countryside!  Our countryside is facing a terrible climate crisis and we need your help."""
Environmentalist,Farm,2,"""Invest in breedings, cultivation and greenhouses to lower CO2 levels. Good luck!"""
Equilibrist,Farm,1,"""Hi there, Mayor! Welcome to the countryside. We've got a big problem with the weather, and we really need your help."""
Equilibrist,Farm,2,"""Our farms and green areas are struggling because of the crazy weather, and we're seeing too much of a gas called CO2 in the air."""
Equilibrist,Farm,3," ""To fix this, we need to invest in things like helping animals have babies, growing crops, and using greenhouses."""
Equilibrist,Farm,4,"""It's like a big puzzle, and if we don't solve it, our farms might not be able to give us enough food, and the people who work on farms might have a tough time."""
Equilibrist,Farm,5,"""So, let's work together to make things better for our countryside. Good luck, Mayor! We're counting on you."""
Entrepreneur,Industries,1,"""Hello Mayor! Step into the urban jungle, where we've got a different kind of storm brewing. Our industries are in a tight spot thanks to some serious climate concerns, and we need your leadership to weather this challenge."""
Entrepreneur,Industries,2,"""Our factories are like energy-guzzling monsters, our waste disposal is messy and our transportation is leaving a pollution trail, and our air quality is nothing to write home about."""
Entrepreneur,Industries,3,"""If we don't crack this code, our city's industries might be in for a rough ride, and the hardworking folks depending on them could face some tough times."""
Entrepreneur,Industries,4,"""Mayor, the ball is in your court. Let's roll up our sleeves and tackle this urban puzzle lowering the CO2. Good luck – the city is counting on you!"""
Environmentalist,Industries,1,"""Hey Mayor! Welcome to the city hustle, where we've got a different kind of challenge. Our industries are dealing with some climate issues, and we need your help to figure things out."""
Environmentalist,Industries,2,"""Our factories use a lot of energy, our waste disposal is a bit messy, our transportation leaves a pollution trail, and our air quality could be better."""
Environmentalist,Industries,3,"""If we don't find solutions, our city's industries might face some difficulties, and the people who rely on them could have a tough time. Mayor, it's up to you now."""
Environmentalist,Industries,4,"""Let's get to work and solve this puzzle for our city by reducing CO2. Good luck – the city is looking to you for guidance!"""
Equilibrist,Industries,1,"""Hey Mayor! Welcome to the urban scene, where we've got a bit of a challenge on our hands. Our industries are facing some climate issues, and we need your help to sort things out."""
Equilibrist,Industries,2,"""Our factories are a bit energy-hungry, waste disposal is somewhat messy, transportation leaves a pollution trail, and our air quality could use a boost."""
Equilibrist,Industries,3,"""If we don't find some solutions soon, our city's industries might hit some bumps, and the folks who depend on them could face some challenges."""
Equilibrist,Industries,4,"""Mayor, it's your turn to step in. Let's work together and figure out this puzzle for our city, especially when it comes to lowering CO2. Good luck – the city is looking to you for some steady guidance!"""
